2018-04-21 13:56:51,911 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-21 13:57:24,906 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Rebuild:Rebuild:0.0.2-SNAPSHOT @ G:\OneDrive - ICONS Soluciones Informátcas, S.L\bulbrange\TODO\Rebuild\pom.xml.
2018-04-21 13:57:25,732 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Rebuild/src
2018-04-21 13:57:25,734 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Rebuild/src overlaps with sources folder /Rebuild/src
2018-04-21 13:57:25,735 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Rebuild/img
2018-04-21 13:57:25,736 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Rebuild/libs
2018-04-21 13:57:25,736 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Rebuild/src/test/java because it overlaps with /Rebuild/src
2018-04-21 13:57:25,877 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2018-04-21 13:57:27,155 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-21 13:57:27,174 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2018-04-21 13:57:27,190 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-04-21 13:57:27,237 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-21 13:57:27,255 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
